filename,type,drones,iterations,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,accuracy_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,3.456,11.149228957983517,0.1677335445044667,0.05095256361793924,0.004621922340105101
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,8.889,26.217979896238653,0.14922141663220687,0.045714748822916616,0.004620536992377299
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,9.249,35.08315952469356,0.14489205007794945,0.03845259715016053,0.004620536992377299
NBV_raw_1_drones_iteration_3.ply,NBV,1,3,9.017,39.76839970196208,0.1423934176728135,0.03359128392180335,0.004616725460422717
NBV_raw_1_drones_iteration_4.ply,NBV,1,4,8.968,43.36673299024176,0.14043057404253237,0.02994271683858672,0.004616017061507194
NBV_raw_1_drones_iteration_5.ply,NBV,1,5,9.128,45.59994613914527,0.13897071921504042,0.02740620324628384,0.004615884579707566
NBV_raw_2_drones_iteration_0.ply,NBV,2,0,36.256,78.47427418976596,0.05465077775827381,0.0032800561177339627,0.004565503133491827
NBV_raw_2_drones_iteration_1.ply,NBV,2,1,36.242999999999995,78.2245102315047,0.054421529431342014,0.003294536854380656,0.004565503133491827
NBV_raw_2_drones_iteration_2.ply,NBV,2,2,1.71,3.5899675006076754,0.12487802680235244,0.06619927831263202,0.004565503133491827
NBV_raw_2_drones_iteration_3.ply,NBV,2,3,30.492,59.9147083830243,0.03563531945198295,0.004354749345926942,0.004565503133491827
NBV_raw_2_drones_iteration_4.ply,NBV,2,4,16.413,25.324899637453928,0.03836348163754995,0.00775528998431361,0.004565503133491827
NBV_raw_2_drones_iteration_5.ply,NBV,2,5,15.338,21.64103126963341,0.04009751966365295,0.009367069155141013,0.004565503133491827
NBV_raw_3_drones_iteration_0.ply,NBV,3,0,6.069,8.686159742522987,0.16528082662210974,0.07951555016621131,0.004621722363603273
NBV_raw_3_drones_iteration_1.ply,NBV,3,1,44.854,77.4366058502161,0.02696190249490481,0.0033763523880754433,0.004609349115678661
NBV_raw_3_drones_iteration_2.ply,NBV,3,2,4.265,8.142596381006536,0.15257250031738595,0.06742950572467309,0.004609349115678661
NBV_raw_3_drones_iteration_3.ply,NBV,3,3,49.576,77.6654993417264,0.025261407368447997,0.003355277960864191,0.004591230592549042
NBV_raw_3_drones_iteration_4.ply,NBV,3,4,59.504000000000005,78.35779069557624,0.021919797531910125,0.003297302286718071,0.004576009260245575
NBV_raw_3_drones_iteration_5.ply,NBV,3,5,70.788,77.91074462658578,0.019481852730853816,0.0033023687102905217,0.004556089396424023
NBV_raw_4_drones_iteration_0.ply,NBV,4,0,56.652,78.40001274297941,0.024693710005588922,0.003273496423947993,0.004557446828326846
NBV_raw_4_drones_iteration_1.ply,NBV,4,1,67.042,78.23626775196686,0.017146836872239484,0.003280288786463488,0.004557446828326846
NBV_raw_4_drones_iteration_2.ply,NBV,4,2,76.93900000000001,78.21870155601057,0.015061739545013723,0.003289341757981784,0.004554813523658634
NBV_raw_4_drones_iteration_3.ply,NBV,4,3,76.97500000000001,78.36275073344078,0.015073500106211451,0.0032791306052451724,0.004554813523658634
NBV_raw_4_drones_iteration_4.ply,NBV,4,4,12.489,13.962426193370414,0.11343423452264507,0.057674336027543675,0.004554813523658634
NBV_raw_4_drones_iteration_5.ply,NBV,4,5,12.523000000000001,13.432041715233698,0.11280090369901902,0.05604486074735609,0.004554813523658634
NBV_raw_5_drones_iteration_0.ply,NBV,5,0,40.704,78.700414208476,0.029189820407594044,0.0032579506023234623,0.004559543388146638
NBV_raw_5_drones_iteration_1.ply,NBV,5,1,50.818,78.19926210372486,0.025392564229938987,0.0032863308072372597,0.004559543388146638
NBV_raw_5_drones_iteration_2.ply,NBV,5,2,66.241,78.38983607850354,0.01473633286157497,0.0032760688565400434,0.004559543388146638
NBV_raw_5_drones_iteration_3.ply,NBV,5,3,15.384999999999998,21.13453805698786,0.10511686027052786,0.04348363362698295,0.00455544597999992
NBV_raw_5_drones_iteration_4.ply,NBV,5,4,16.857,23.939054065680104,0.10779217437571233,0.044006016688837246,0.00455544597999992
NBV_raw_5_drones_iteration_5.ply,NBV,5,5,24.388,31.206481011802612,0.1059720303503259,0.04476073337795215,0.004553898541870665
NBV_raw_6_drones_iteration_0.ply,NBV,6,0,1.7149999999999999,8.56038598951551,0.1125889858892161,0.029275263717516934,0.0046750629870220195
NBV_raw_6_drones_iteration_1.ply,NBV,6,1,6.286,27.11846406737713,0.11542511052754102,0.04387012921656941,0.004584976299807887
NBV_raw_6_drones_iteration_2.ply,NBV,6,2,14.404,41.804386326221156,0.10330620043071737,0.03583608033472588,0.0045710134800818385
NBV_raw_6_drones_iteration_3.ply,NBV,6,3,16.843,45.7699043752002,0.10314673574066649,0.0372572019731751,0.004571013480081839
NBV_raw_6_drones_iteration_4.ply,NBV,6,4,20.535,49.39278597831439,0.10097630462595375,0.03437484376758487,0.004571013480081839
NBV_raw_6_drones_iteration_5.ply,NBV,6,5,28.836000000000002,50.20457582460154,0.0967420597241853,0.0338615477736875,0.004567173714135672
NBV_raw_7_drones_iteration_0.ply,NBV,7,0,40.309,77.94936448309576,0.027235888637950043,0.003305105182555601,0.0045584334536960215
NBV_raw_7_drones_iteration_1.ply,NBV,7,1,51.622,77.75233503636963,0.020283600593907034,0.0033094270571974033,0.0045584334536960215
NBV_raw_7_drones_iteration_2.ply,NBV,7,2,66.347,78.27101050764976,0.014541098314875373,0.0032837230289805073,0.0045584334536960215
NBV_raw_7_drones_iteration_3.ply,NBV,7,3,79.111,77.90668882080143,0.00889072080598357,0.003297749308031281,0.004557133288199597
NBV_raw_7_drones_iteration_4.ply,NBV,7,4,83.545,78.03976994167327,0.006195071632374798,0.0032923291180834173,0.004557133288199597
NBV_raw_7_drones_iteration_5.ply,NBV,7,5,91.337,78.2734467222406,0.0032153219060339607,0.003283373134331957,0.004557133288199597
NBV_raw_8_drones_iteration_0.ply,NBV,8,0,59.072,78.46693805436509,0.022609487364743754,0.0032717402192840297,0.00455702752668123
NBV_raw_8_drones_iteration_1.ply,NBV,8,1,79.296,78.44151494150438,0.01255957261641596,0.0032790267131372103,0.00455702752668123
NBV_raw_8_drones_iteration_2.ply,NBV,8,2,83.448,78.35959366353647,0.011252787177554468,0.0032823969622139434,0.00455702752668123
NBV_raw_8_drones_iteration_3.ply,NBV,8,3,17.693,19.798478547876286,0.10336391529182949,0.04846913831963164,0.00455702752668123
NBV_raw_8_drones_iteration_4.ply,NBV,8,4,20.249,29.695005782028062,0.10170382463860209,0.042518075522405094,0.004556072911701139
NBV_raw_8_drones_iteration_5.ply,NBV,8,5,22.173000000000002,30.29125515292643,0.10383797395779723,0.041916747666296834,0.004556072911701138
