filename,drones,iterations,mesh_visibility,mesh_accuracy,chamfer_distance,mean_distance_to_gt,accuracy_threshold
raw_1_drones_0_iterations.ply,1,0,8.153,16.749721805602594,0.15159045957629197,0.05134288197786843,0.0046025033642016905
raw_1_drones_1_iterations.ply,1,1,9.815,39.61588770587491,0.1422462558595292,0.03365854568068666,0.0046183133450570565
raw_1_drones_2_iterations.ply,1,2,9.876999999999999,44.80890470227186,0.14095080363369042,0.029147304454300034,0.00462043557774889
raw_2_drones_0_iterations.ply,2,0,6.349,11.06545830202855,0.16409367631094146,0.07464365789022115,0.004560272731037002
raw_2_drones_1_iterations.ply,2,1,36.136,78.28272400889685,0.05780543550405142,0.0032954696993282313,0.0045696710903244285
raw_2_drones_2_iterations.ply,2,2,14.130999999999998,41.98521065092596,0.10106421231022368,0.0361801311458577,0.004559727648632354
raw_3_drones_0_iterations.ply,3,0,6.319,10.386630264437683,0.1655378681225435,0.07726755455695589,0.004594977049017627
raw_3_drones_1_iterations.ply,3,1,23.077,77.89998836906501,0.06723112330837662,0.003308288558192683,0.004575351543200069
raw_3_drones_2_iterations.ply,3,2,46.639,78.08714839431728,0.031461531199097836,0.0032964655402035717,0.004558242434514594
