filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,142556,0.513,0.6835476039171595,0.26785545362035623,0.21191391392565687,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,311183,0.886,0.9619978564879975,0.24262674723573624,0.21459217052809995,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,426355,1.064,1.398117781263368,0.23082197250367148,0.19218644045641511,0.1,0.004559720750500425
swarm_raw_3_drones_3_interval.ply,swarm,3,3,731242,81.33200000000001,77.70741417167717,0.006556314200890343,0.003359432322658396,0.1,0.004559720750500425
