filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,213576,31.459,77.6099702591701,0.09442443584450086,0.003357244299978207,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,342572,31.662000000000003,78.04784859285778,0.09427570123045984,0.003330301798469311,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,494586,31.263,77.62417325898068,0.09473110997566464,0.003349775730831511,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_3.ply,NBV,1,3,710986,37.188,77.83965573355512,0.051588064033032864,0.003334400597978639,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_4.ply,NBV,1,4,845923,37.372,78.30467767312825,0.05152426121419575,0.0033034990288721465,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_5.ply,NBV,1,5,878655,37.218,78.05269246949938,0.051310969761053614,0.0033163542418192518,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_0.ply,NBV,2,0,407211,36.223,78.36294717915693,0.05887501205546238,0.0033047044915183836,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_1.ply,NBV,2,1,589071,38.751999999999995,78.29973233799082,0.05413388133417472,0.0033084659915264634,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_2.ply,NBV,2,2,723121,47.841,77.69918083414616,0.03854781120446027,0.003339212595625864,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_3.ply,NBV,2,3,983396,55.84400000000001,77.67445722113828,0.022677709360332154,0.003340201598756351,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_4.ply,NBV,2,4,1076925,55.852000000000004,77.9341187281199,0.02280041656254259,0.0033304309261648493,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_5.ply,NBV,2,5,1294413,62.605,77.80629903091832,0.021994759850684387,0.0033330356698112423,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_0.ply,NBV,3,0,614909,46.285,77.89041504926844,0.028821707808201525,0.0033271654304286554,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_1.ply,NBV,3,1,871361,58.967999999999996,77.76454513071079,0.0211366188140683,0.0033422615375105257,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_2.ply,NBV,3,2,1160593,59.183,77.85461151982774,0.02097052815643936,0.0033281981389152145,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_3.ply,NBV,3,3,1476329,59.487,77.73007397900992,0.020973579606348776,0.0033372481020430196,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_4.ply,NBV,3,4,1798906,59.824999999999996,78.0443423917164,0.02057347984790279,0.003321684584116389,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_5.ply,NBV,3,5,2125381,59.760000000000005,77.8166822596901,0.02077230120339722,0.0033248977541180716,0.1,0.004559720750500425
NBV_raw_4_drones_iteration_0.ply,NBV,4,0,851659,57.897,77.50915218859022,0.024239757015914014,0.003360500319326003,0.1,0.004559720750500425
NBV_raw_4_drones_iteration_1.ply,NBV,4,1,1474860,69.488,77.87506528948039,0.013543831859441403,0.003336811971714066,0.1,0.004559720750500425
NBV_raw_4_drones_iteration_2.ply,NBV,4,2,1771308,72.60799999999999,77.92193483129832,0.013031667673540862,0.0033347353804849852,0.1,0.004559720750500425
NBV_raw_4_drones_iteration_3.ply,NBV,4,3,2115784,75.468,78.00245811726298,0.010764154393994621,0.003326782983801253,0.1,0.004559720750500425
NBV_raw_4_drones_iteration_4.ply,NBV,4,4,2468031,78.938,77.76861149377693,0.009740895787386496,0.0033336426899707606,0.1,0.004559720750500425
NBV_raw_4_drones_iteration_5.ply,NBV,4,5,2650446,79.515,78.01480368683787,0.009564343188421543,0.0033247345970519844,0.1,0.004559720750500425
NBV_raw_5_drones_iteration_0.ply,NBV,5,0,1035165,60.426,78.01674166820455,0.019756882454271506,0.003323274533938347,0.1,0.004559720750500425
NBV_raw_5_drones_iteration_1.ply,NBV,5,1,1614994,71.61999999999999,77.79872609581268,0.010269290858394264,0.0033330044533399876,0.1,0.004559720750500425
NBV_raw_5_drones_iteration_2.ply,NBV,5,2,2733753,75.17399999999999,78.20835590148917,0.007517366961717302,0.003308236889105003,0.1,0.004559720750500425
NBV_raw_5_drones_iteration_3.ply,NBV,5,3,2897487,75.126,77.97208991392998,0.0074857154191941425,0.0033181351086117063,0.1,0.004559720750500425
NBV_raw_5_drones_iteration_4.ply,NBV,5,4,3544244,77.16199999999999,77.7832431546155,0.006955860797091191,0.003322375768924658,0.1,0.004559720750500425
