filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,142654,25.623,69.60536681637659,0.031945882184042644,0.0018802366857718525,0.1,0.00226216479671721
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,289317,43.983,68.64044001279912,0.012322175205414768,0.0018936890512279208,0.1,0.00226216479671721
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,421677,47.049,67.61363267373672,0.012051053404402386,0.0019237960604478156,0.1,0.00226216479671721
NBV_raw_1_drones_iteration_3.ply,NBV,1,3,430677,47.186,67.67696267696269,0.011911009957563924,0.0019210967039581704,0.1,0.00226216479671721
NBV_raw_1_drones_iteration_4.ply,NBV,1,4,528662,47.804,67.67203472103249,0.011748435061718616,0.0019201969581881988,0.1,0.00226216479671721
NBV_raw_1_drones_iteration_5.ply,NBV,1,5,651852,47.436,67.46052955632759,0.011809728065056957,0.001925490127986468,0.1,0.00226216479671721
NBV_raw_2_drones_iteration_0.ply,NBV,2,0,288504,34.548,69.78033706987665,0.017855579082831797,0.0018673131507691892,0.1,0.00226216479671721
NBV_raw_2_drones_iteration_1.ply,NBV,2,1,624121,59.248,69.37129739137897,0.007083467282776082,0.0018772296301372887,0.1,0.00226216479671721
NBV_raw_2_drones_iteration_2.ply,NBV,2,2,803193,64.255,69.26148076108755,0.006653547788154815,0.001881603536351516,0.1,0.00226216479671721
NBV_raw_2_drones_iteration_3.ply,NBV,2,3,1093326,70.342,68.29046095576949,0.004583351361168369,0.0019035007159331862,0.1,0.00226216479671721
NBV_raw_2_drones_iteration_4.ply,NBV,2,4,1378357,75.271,68.40128787650829,0.003933534446016062,0.0018997542967844497,0.1,0.00226216479671721
NBV_raw_2_drones_iteration_5.ply,NBV,2,5,1708940,77.271,68.43203280384347,0.003845459244088435,0.0018994309688652464,0.1,0.00226216479671721
NBV_raw_3_drones_iteration_0.ply,NBV,3,0,416345,42.551,69.44996147590103,0.013529712773143293,0.0018703146697264259,0.1,0.00226216479671721
NBV_raw_3_drones_iteration_1.ply,NBV,3,1,1368649,58.477999999999994,69.0819750778354,0.010056349194687496,0.0018778546908733034,0.1,0.00226216479671721
NBV_raw_3_drones_iteration_2.ply,NBV,3,2,2036182,72.172,68.55772178392606,0.00450929679176327,0.001888768315545755,0.1,0.00226216479671721
NBV_raw_3_drones_iteration_3.ply,NBV,3,3,2579895,83.891,68.03293007817618,0.0027173136949191863,0.0019042294916239455,0.1,0.00226216479671721
NBV_raw_3_drones_iteration_4.ply,NBV,3,4,3251224,87.98899999999999,68.40612579151971,0.0023309181323138625,0.001895190725067645,0.1,0.00226216479671721
NBV_raw_3_drones_iteration_5.ply,NBV,3,5,3846694,88.676,68.39601960531971,0.002292258850925746,0.0018936282636705984,0.1,0.00226216479671721
NBV_raw_4_drones_iteration_0.ply,NBV,4,0,563734,52.227999999999994,68.92922726903389,0.008817919467797504,0.0018874783000113564,0.1,0.00226216479671721
NBV_raw_4_drones_iteration_1.ply,NBV,4,1,1338250,74.131,68.5061573259613,0.00448948990564975,0.0018944846784140462,0.1,0.00226216479671721
NBV_raw_4_drones_iteration_2.ply,NBV,4,2,1860373,81.58800000000001,68.76350105895837,0.004238816110871385,0.0018867528521500935,0.1,0.00226216479671721
NBV_raw_4_drones_iteration_3.ply,NBV,4,3,2439463,87.861,68.4226549882465,0.0023570437907805683,0.0018941028433479572,0.1,0.00226216479671721
NBV_raw_4_drones_iteration_4.ply,NBV,4,4,3061943,88.21,68.5026337881747,0.002325876467464362,0.0018913951399586256,0.1,0.00226216479671721
NBV_raw_4_drones_iteration_5.ply,NBV,4,5,3552365,88.16199999999999,68.47339584869877,0.002339357795019903,0.00189159351094046,0.1,0.00226216479671721
NBV_raw_5_drones_iteration_0.ply,NBV,5,0,719616,53.766999999999996,69.25613934894346,0.00867408491438875,0.0018734292485106207,0.1,0.00226216479671721
NBV_raw_5_drones_iteration_1.ply,NBV,5,1,1895043,69.407,68.32044046799724,0.007480463606857181,0.0018992288088662082,0.1,0.00226216479671721
NBV_raw_5_drones_iteration_2.ply,NBV,5,2,2746250,76.764,68.08611065221587,0.0049025453080000225,0.0019043053118157796,0.1,0.00226216479671721
NBV_raw_5_drones_iteration_3.ply,NBV,5,3,3375621,85.296,68.22510851241755,0.0025830433791161392,0.0018988590067665477,0.1,0.00226216479671721
NBV_raw_5_drones_iteration_4.ply,NBV,5,4,3944142,91.58500000000001,68.29730279582004,0.0022123900546492077,0.001895663166701687,0.1,0.00226216479671721
NBV_raw_5_drones_iteration_5.ply,NBV,5,5,4629790,92.35900000000001,68.30876305568366,0.002196334017207342,0.001895150620451916,0.1,0.00226216479671721
NBV_raw_6_drones_iteration_0.ply,NBV,6,0,945042,55.555,69.24905736550792,0.00573034582050027,0.0018739753465997137,0.1,0.00226216479671721
NBV_raw_6_drones_iteration_1.ply,NBV,6,1,2005401,82.866,68.92079289810323,0.003435800039218882,0.0018810709587642985,0.1,0.00226216479671721
NBV_raw_6_drones_iteration_2.ply,NBV,6,2,3013592,91.843,68.48416961840775,0.002203193734495245,0.0018914103373111819,0.1,0.00226216479671721
NBV_raw_6_drones_iteration_3.ply,NBV,6,3,3949410,93.431,68.37797258681648,0.0019496538270652223,0.0018927723688745477,0.1,0.00226216479671721
