filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,206671,32.402,77.66691331322215,0.09433669302744252,0.0033600816482443094,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,376904,32.594,77.74571720665374,0.09440888517170787,0.003347999291307685,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,524017,33.592,77.70818781887903,0.07825651573511032,0.003348452716232613,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_3.ply,NBV,1,3,664653,35.063,78.09078226699981,0.07060567462721722,0.003334360151139923,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_4.ply,NBV,1,4,798792,43.87,77.36640662415743,0.054310433331275776,0.00336622152808628,0.1,0.004559720750500425
NBV_raw_1_drones_iteration_5.ply,NBV,1,5,917128,48.305,77.42289185698267,0.05439427875215379,0.0033718421500181462,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_0.ply,NBV,2,0,407767,36.863,78.14925498779358,0.056811118124536555,0.003318024543602732,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_1.ply,NBV,2,1,1062781,39.786,77.97999144933733,0.030129179325579594,0.003309315175345129,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_2.ply,NBV,2,2,1576286,41.152,78.12677297860405,0.028667278739237356,0.003298385084134238,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_3.ply,NBV,2,3,2120241,57.645,78.19148490108766,0.013770764355845634,0.003300205113212122,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_4.ply,NBV,2,4,2592279,68.50500000000001,77.99080381391852,0.011498995771958072,0.0033177589733243834,0.1,0.004559720750500425
NBV_raw_2_drones_iteration_5.ply,NBV,2,5,3024720,70.504,78.02596732324878,0.009048596380869706,0.003318640793931292,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_0.ply,NBV,3,0,668297,48.38,77.81224531751334,0.02847803082174396,0.0033371820637994763,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_1.ply,NBV,3,1,1536113,57.798,78.07388617400927,0.01939124834118164,0.0033185401525655904,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_2.ply,NBV,3,2,2396494,79.19800000000001,77.99079531221174,0.005304627213707933,0.0033195807081157803,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_3.ply,NBV,3,3,3530510,91.54299999999999,78.04430602515012,0.002819388886331965,0.0033149227800512823,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_4.ply,NBV,3,4,4264126,94.709,78.0151887721503,0.0025788906829260585,0.003319434114545995,0.1,0.004559720750500425
NBV_raw_3_drones_iteration_5.ply,NBV,3,5,5207432,95.165,77.78006096501322,0.002559571209242363,0.0033293430968879723,0.1,0.004559720750500425
