filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,191586,40.097,81.70562846586648,0.054100435966644975,0.0019999667599909484,0.1,0.0028581203767768125
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,384148,48.647,82.0623846295511,0.028941165782324516,0.001982433184563592,0.1,0.0028581203767768125
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,702725,49.419999999999995,82.12352884515906,0.02872612188140869,0.0019693780999499484,0.1,0.0028581203767768125
NBV_raw_1_drones_iteration_3.ply,NBV,1,3,933113,53.744,82.01305781696313,0.02657310322688214,0.0019685727102827003,0.1,0.0028581203767768125
NBV_raw_1_drones_iteration_4.ply,NBV,1,4,1251334,53.56999999999999,81.91402338867475,0.0268308892100007,0.001972337846824214,0.1,0.0028581203767768125
NBV_raw_1_drones_iteration_5.ply,NBV,1,5,1511310,54.300000000000004,82.2811238272053,0.02653351711528449,0.0019644970299456193,0.1,0.0028581203767768125
NBV_raw_2_drones_iteration_0.ply,NBV,2,0,347587,41.724,81.9767471059438,0.05361864474758564,0.001985195845980458,0.1,0.0028581203767768125
NBV_raw_2_drones_iteration_1.ply,NBV,2,1,638387,59.268,81.87288746396261,0.018176682119540644,0.0019846005080625608,0.1,0.0028581203767768125
NBV_raw_2_drones_iteration_2.ply,NBV,2,2,905470,59.887,81.96392395200249,0.017905112238568374,0.0019837418372324464,0.1,0.0028581203767768125
NBV_raw_2_drones_iteration_3.ply,NBV,2,3,1218565,66.74,82.23315818743168,0.008133052550937107,0.001972186823809409,0.1,0.0028581203767768125
NBV_raw_2_drones_iteration_4.ply,NBV,2,4,1551661,70.242,81.99836417933159,0.007198490801133996,0.001977442129404933,0.1,0.0028581203767768125
NBV_raw_2_drones_iteration_5.ply,NBV,2,5,1785593,70.734,82.07785877021398,0.007073418817876634,0.001975075335789999,0.1,0.0028581203767768125
NBV_raw_3_drones_iteration_0.ply,NBV,3,0,506755,55.492,81.85595388591423,0.01600580784255877,0.001986053711058993,0.1,0.0028581203767768125
NBV_raw_3_drones_iteration_1.ply,NBV,3,1,1016504,69.622,82.11904080391929,0.006514161123325727,0.001972278045174148,0.1,0.0028581203767768125
NBV_raw_3_drones_iteration_2.ply,NBV,3,2,1433269,81.575,82.26509181574973,0.005461565623751438,0.001970586936627981,0.1,0.0028581203767768125
NBV_raw_3_drones_iteration_3.ply,NBV,3,3,2121274,81.896,82.23006173203964,0.005311709290135993,0.0019659853834500425,0.1,0.0028581203767768125
NBV_raw_3_drones_iteration_4.ply,NBV,3,4,3006397,82.753,82.29996045449309,0.005318586290407096,0.001960692220513235,0.1,0.0028581203767768125
NBV_raw_3_drones_iteration_5.ply,NBV,3,5,3508423,82.48400000000001,82.1878832474859,0.005325421943429049,0.0019639497144050225,0.1,0.0028581203767768125
NBV_raw_4_drones_iteration_0.ply,NBV,4,0,683620,67.89500000000001,82.11908879479994,0.011575459206235022,0.0019814850042403887,0.1,0.0028581203767768125
NBV_raw_4_drones_iteration_1.ply,NBV,4,1,1801831,83.621,82.30216551767863,0.00562405917334765,0.00195798693889214,0.1,0.0028581203767768125
NBV_raw_4_drones_iteration_2.ply,NBV,4,2,2528943,86.401,82.10300407896021,0.0051882118910545035,0.0019656400924495947,0.1,0.0028581203767768125
NBV_raw_4_drones_iteration_3.ply,NBV,4,3,3407891,90.082,82.13125228448163,0.00462992674768971,0.00196164105678978,0.1,0.0028581203767768125
NBV_raw_4_drones_iteration_4.ply,NBV,4,4,4160130,90.632,82.32155756779306,0.004537919991498534,0.001956180999787835,0.1,0.0028581203767768125
NBV_raw_4_drones_iteration_5.ply,NBV,4,5,5174653,90.703,82.4450864140773,0.004554479272709441,0.0019521475483523611,0.1,0.0028581203767768125
NBV_raw_5_drones_iteration_0.ply,NBV,5,0,904706,69.526,82.22667632263617,0.00695411092151109,0.0019699769031939827,0.1,0.0028581203767768125
NBV_raw_5_drones_iteration_1.ply,NBV,5,1,1781256,84.111,82.19309529968609,0.005217022916187017,0.0019669970619595324,0.1,0.0028581203767768125
NBV_raw_5_drones_iteration_2.ply,NBV,5,2,2640001,84.107,82.18521231018757,0.00516998916692063,0.001962959180499455,0.1,0.0028581203767768125
NBV_raw_5_drones_iteration_3.ply,NBV,5,3,3739465,87.324,82.0279013315449,0.004953675111078985,0.0019652331360291136,0.1,0.0028581203767768125
NBV_raw_5_drones_iteration_4.ply,NBV,5,4,4759736,87.819,82.12115183968756,0.004754034068403026,0.001960866653953499,0.1,0.0028581203767768125
NBV_raw_5_drones_iteration_5.ply,NBV,5,5,5789880,88.009,82.23721558729541,0.00477929245674448,0.0019594828144819886,0.1,0.0028581203767768125
NBV_raw_6_drones_iteration_0.ply,NBV,6,0,1102588,76.407,82.06882677170755,0.006077648037326231,0.001972232202109819,0.1,0.0028581203767768125
