filename,type,drones,iterations,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
NBV_raw_1_drones_iteration_0.ply,NBV,1,0,342080,43.885999999999996,74.65301797739035,0.04820167812572381,0.002899928541498401,0.1,0.0037858989403248013
NBV_raw_1_drones_iteration_1.ply,NBV,1,1,795191,45.96,75.08847208705653,0.046438149993069285,0.0028766658212864933,0.1,0.0037858989403248013
NBV_raw_1_drones_iteration_2.ply,NBV,1,2,1144299,53.786,74.89997484698583,0.01737706891765909,0.0028854343312138507,0.1,0.0037858989403248013
NBV_raw_1_drones_iteration_3.ply,NBV,1,3,1482998,56.184,75.10564733000385,0.01679546053416508,0.00287117736376818,0.1,0.0037858989403248013
NBV_raw_1_drones_iteration_4.ply,NBV,1,4,1886126,55.935,74.88854571175752,0.01697324850013203,0.0028837501766038848,0.1,0.0037858989403248013
NBV_raw_1_drones_iteration_5.ply,NBV,1,5,2496445,62.044,74.98162799592592,0.011589455880061512,0.002875131842167219,0.1,0.0037858989403248013
NBV_raw_2_drones_iteration_0.ply,NBV,2,0,641409,46.274,74.45098076304689,0.04857381145274064,0.0029004489399776096,0.1,0.0037858989403248013
NBV_raw_2_drones_iteration_1.ply,NBV,2,1,1348494,58.243,74.68623871610272,0.03404232836617795,0.002887013230418799,0.1,0.0037858989403248013
NBV_raw_2_drones_iteration_2.ply,NBV,2,2,1755665,65.86800000000001,74.65578513816308,0.014281014850012094,0.002889367082596272,0.1,0.0037858989403248013
NBV_raw_2_drones_iteration_3.ply,NBV,2,3,2147815,71.223,74.73594891309102,0.01188750110618322,0.002892798397914156,0.1,0.0037858989403248013
NBV_raw_2_drones_iteration_4.ply,NBV,2,4,2638476,76.107,74.65741897884833,0.00836329688430709,0.002897642922833637,0.1,0.0037858989403248013
NBV_raw_2_drones_iteration_5.ply,NBV,2,5,3081519,76.084,74.59898421514177,0.008268283824750205,0.0028982515710433256,0.1,0.0037858989403248013
NBV_raw_3_drones_iteration_0.ply,NBV,3,0,736352,42.854,74.44888194079634,0.05149596549280881,0.0029160522417524324,0.1,0.0037858989403248013
NBV_raw_3_drones_iteration_1.ply,NBV,3,1,1734367,62.900999999999996,74.54220019275782,0.016846369285427154,0.0029057141516736123,0.1,0.0037858989403248013
NBV_raw_3_drones_iteration_2.ply,NBV,3,2,2880122,64.59700000000001,74.5727104776986,0.01611960480448426,0.002893952408465619,0.1,0.0037858989403248013
NBV_raw_3_drones_iteration_3.ply,NBV,3,3,3874244,65.017,74.39601720593456,0.01597558035214794,0.002899446921232499,0.1,0.0037858989403248013
NBV_raw_3_drones_iteration_4.ply,NBV,3,4,4603398,66.28,74.67182032660364,0.015936149544800687,0.0028869073426113436,0.1,0.0037858989403248013
