filename,drones,interval,convergence_time,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
swarm_raw_1_drones_1_interval_79.24s.ply,1,1,79.24,170982,21.551000000000002,73.93641601591062,0.12669772261141737,0.0025090106575067156,0.1,0.0032152315314051233
swarm_raw_1_drones_2_interval_79.24s.ply,1,2,79.24,154306,21.268,73.67312143037736,0.12803360634871971,0.0025126200567724168,0.1,0.0032152315314051233
swarm_raw_1_drones_3_interval_79.24s.ply,1,3,79.24,151442,19.761,74.06727505645875,0.1312114619752719,0.0025047559796985484,0.1,0.0032152315314051233
swarm_raw_1_drones_4_interval_79.24s.ply,1,4,79.24,131741,21.232,73.78560417948076,0.1275519258461401,0.0025132197349724476,0.1,0.0032152315314051233
swarm_raw_1_drones_5_interval_79.24s.ply,1,5,79.24,123334,21.095,74.12263630761247,0.12887780015641703,0.00250335163852641,0.1,0.0032152315314051233
swarm_raw_2_drones_1_interval_74.88s.ply,2,1,74.88,836550,91.381,73.91407775056274,0.002416371330401933,0.0025039748272211665,0.1,0.0032152315314051233
swarm_raw_2_drones_2_interval_74.88s.ply,2,2,74.88,833763,90.875,74.12274231406288,0.0024517344278894423,0.002490657918898646,0.1,0.0032152315314051233
swarm_raw_2_drones_3_interval_74.88s.ply,2,3,74.88,836207,90.631,74.169453094729,0.0024567085704463097,0.002490451708668644,0.1,0.0032152315314051233
swarm_raw_2_drones_4_interval_74.88s.ply,2,4,74.88,804472,91.37100000000001,74.10633364621343,0.0024215917804723337,0.0024937791448166042,0.1,0.0032152315314051233
swarm_raw_2_drones_5_interval_74.88s.ply,2,5,74.88,774549,89.081,74.16264174377606,0.002676428666830272,0.0024863221755977117,0.1,0.0032152315314051233
swarm_raw_3_drones_1_interval_85.90s.ply,3,1,85.9,965187,94.22399999999999,74.13703251287056,0.002015298593785633,0.0024888006856920546,0.1,0.0032152315314051233
swarm_raw_3_drones_2_interval_85.90s.ply,3,2,85.9,978579,93.537,74.16478383451923,0.002044529928876753,0.0024870707814169573,0.1,0.0032152315314051233
swarm_raw_3_drones_3_interval_85.90s.ply,3,3,85.9,964749,94.244,74.20230547012746,0.0020125293530700245,0.0024867724295950565,0.1,0.0032152315314051233
swarm_raw_3_drones_4_interval_85.90s.ply,3,4,85.9,910450,92.73400000000001,74.28606555470516,0.0020960887162189746,0.002479924792210217,0.1,0.0032152315314051233
swarm_raw_3_drones_5_interval_85.90s.ply,3,5,85.9,905990,91.46600000000001,74.16810011799684,0.002190213448561128,0.0024826851665413624,0.1,0.0032152315314051233
swarm_raw_4_drones_1_interval_83.50s.ply,4,1,83.5,958635,93.14099999999999,74.11444776486087,0.0021263003996912434,0.002496264768997916,0.1,0.0032152315314051233
swarm_raw_4_drones_2_interval_83.50s.ply,4,2,83.5,972571,92.673,74.21409063613106,0.002174557650999675,0.0024922258407147715,0.1,0.0032152315314051233
swarm_raw_4_drones_3_interval_83.50s.ply,4,3,83.5,1019773,92.002,73.96950210703977,0.0022504187601613,0.002501205114332855,0.1,0.0032152315314051233
swarm_raw_4_drones_4_interval_83.50s.ply,4,4,83.5,972845,92.009,74.16766118678373,0.0022201121311277534,0.002491515644224411,0.1,0.0032152315314051233
swarm_raw_4_drones_5_interval_83.50s.ply,4,5,83.5,962212,93.17999999999999,73.96334701437081,0.002119261812311207,0.0025016775501809827,0.1,0.0032152315314051233
swarm_raw_5_drones_1_interval_93.54s.ply,5,1,93.54,968359,94.65,74.20701618401992,0.002006944335856417,0.0024898353426947408,0.1,0.0032152315314051233
swarm_raw_5_drones_2_interval_93.54s.ply,5,2,93.54,1028365,94.11500000000001,73.93167297163251,0.0020202636071180815,0.00249776698493787,0.1,0.0032152315314051233
swarm_raw_5_drones_3_interval_93.54s.ply,5,3,93.54,1051631,93.90899999999999,74.27534267810559,0.0020257256378620535,0.0024892155031008643,0.1,0.0032152315314051233
swarm_raw_5_drones_4_interval_93.54s.ply,5,4,93.54,1001969,93.413,74.19608868625451,0.0020522657585002636,0.0024880240594698623,0.1,0.0032152315314051233
swarm_raw_5_drones_5_interval_93.54s.ply,5,5,93.54,968896,94.768,74.01103808604338,0.0019981519376745206,0.002493312057135248,0.1,0.0032152315314051233
swarm_raw_6_drones_1_interval_94.58s.ply,6,1,94.58,1114976,93.403,73.88635862185254,0.0020427298386267016,0.0025029608414428284,0.1,0.0032152315314051233
swarm_raw_6_drones_2_interval_94.58s.ply,6,2,94.58,1116242,93.27600000000001,74.01444995556065,0.0020518137747817817,0.002498785578324223,0.1,0.0032152315314051233
swarm_raw_6_drones_3_interval_94.58s.ply,6,3,94.58,1110083,92.562,74.05146948016696,0.0022080049063492478,0.0024948692206195073,0.1,0.0032152315314051233
swarm_raw_6_drones_4_interval_94.58s.ply,6,4,94.58,1080955,93.021,74.22073114298937,0.0020730005046230167,0.002491363224674028,0.1,0.0032152315314051233
swarm_raw_6_drones_5_interval_94.58s.ply,6,5,94.58,1060318,92.354,73.95781362733956,0.00224670573479031,0.0024983398679952703,0.1,0.0032152315314051233
swarm_raw_7_drones_1_interval_106.99s.ply,7,1,106.99,1182001,93.53399999999999,73.956083079929,0.002073119954881222,0.002505830520818266,0.1,0.0032152315314051233
swarm_raw_7_drones_2_interval_106.99s.ply,7,2,106.99,1159872,93.13,74.07238486170101,0.002118491872910513,0.0024994181687524627,0.1,0.0032152315314051233
swarm_raw_7_drones_3_interval_106.99s.ply,7,3,106.99,1169675,93.183,73.99243333471284,0.002093979775350299,0.0025009217121317318,0.1,0.0032152315314051233
swarm_raw_7_drones_4_interval_106.99s.ply,7,4,106.99,1151075,92.459,74.00283148493047,0.002231515702762425,0.002498827441314809,0.1,0.0032152315314051233
swarm_raw_7_drones_5_interval_106.99s.ply,7,5,106.99,1155987,92.691,73.93540393394422,0.0021492022781494083,0.002500228389944862,0.1,0.0032152315314051233
swarm_raw_8_drones_1_interval_101.13s.ply,8,1,101.13,1019673,93.967,73.89511791926465,0.002041138262281654,0.002503719965327777,0.1,0.0032152315314051233
swarm_raw_8_drones_2_interval_101.13s.ply,8,2,101.13,1149863,93.26100000000001,73.90772916663039,0.002094810563432609,0.002503041637285709,0.1,0.0032152315314051233
swarm_raw_8_drones_3_interval_101.13s.ply,8,3,101.13,1111957,93.341,73.98730241369836,0.002069483889930195,0.002500689366594149,0.1,0.0032152315314051233
swarm_raw_8_drones_4_interval_101.13s.ply,8,4,101.13,1132616,93.062,73.90040951545086,0.002108547773677446,0.002502166761234564,0.1,0.0032152315314051233
swarm_raw_8_drones_5_interval_101.13s.ply,8,5,101.13,1191817,92.496,74.10634298126081,0.002241438864331726,0.002493040736712578,0.1,0.0032152315314051233
swarm_raw_9_drones_1_interval_128.19s.ply,9,1,128.19,1281095,94.33500000000001,74.00700182265952,0.001968938931125027,0.0025048589942059086,0.1,0.0032152315314051233
swarm_raw_9_drones_2_interval_128.19s.ply,9,2,128.19,1276720,93.7,73.82038309685235,0.0020093522677464173,0.002505800640232394,0.1,0.0032152315314051233
swarm_raw_9_drones_3_interval_128.19s.ply,9,3,128.19,1279622,94.192,73.99049472754419,0.0019704245498575294,0.0025025458291672176,0.1,0.0032152315314051233
swarm_raw_9_drones_4_interval_128.19s.ply,9,4,128.19,1257176,93.16600000000001,73.88550892239326,0.0020571302508008444,0.002505369498434357,0.1,0.0032152315314051233
swarm_raw_9_drones_5_interval_128.19s.ply,9,5,128.19,1277417,93.258,73.82818340735105,0.002063958137096935,0.0025059850389865883,0.1,0.0032152315314051233
