filename,drones,interval,convergence_time,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
swarm_raw_1_drones_1_interval_61.81s.ply,1,1,61.81,773149,77.108,77.86272673654584,0.008009453747372665,0.0033443488223100014,0.1,0.004559720750500425
swarm_raw_1_drones_2_interval_61.81s.ply,1,2,61.81,777727,76.432,77.77016224099481,0.00821751017600477,0.0033436029827859275,0.1,0.004559720750500425
swarm_raw_1_drones_3_interval_61.81s.ply,1,3,61.81,788562,76.428,77.99174393770771,0.008232019587006163,0.0033350697335208907,0.1,0.004559720750500425
swarm_raw_1_drones_4_interval_61.81s.ply,1,4,61.81,769402,73.958,77.72692948058919,0.010182814577840928,0.0033427703223694732,0.1,0.004559720750500425
swarm_raw_1_drones_5_interval_61.81s.ply,1,5,61.81,773686,76.863,77.81102411055649,0.008064214750487382,0.0033507605870895787,0.1,0.004559720750500425
swarm_raw_2_drones_1_interval_62.79s.ply,2,1,62.79,676309,76.305,77.93811658264407,0.008307083691298152,0.003341217907988537,0.1,0.004559720750500425
swarm_raw_2_drones_2_interval_62.79s.ply,2,2,62.79,639094,74.761,77.98332978603533,0.008945737194911482,0.0033365966726629425,0.1,0.004559720750500425
swarm_raw_2_drones_3_interval_62.79s.ply,2,3,62.79,653547,75.32,77.7237608626792,0.00863474895298871,0.003343761737576326,0.1,0.004559720750500425
swarm_raw_2_drones_4_interval_62.79s.ply,2,4,62.79,626410,74.491,77.82866925702166,0.01005463909971474,0.0033408878093485394,0.1,0.004559720750500425
swarm_raw_2_drones_5_interval_62.79s.ply,2,5,62.79,523164,69.162,78.02361658322293,0.011842729837283449,0.0033280265589532396,0.1,0.004559720750500425
swarm_raw_3_drones_1_interval_75.98s.ply,3,1,75.98,770243,82.071,77.68705609734555,0.006476769236502406,0.0033584525399720784,0.1,0.004559720750500425
swarm_raw_3_drones_2_interval_75.98s.ply,3,2,75.98,762931,81.355,77.87061457552291,0.006459539817463123,0.003349670415919464,0.1,0.004559720750500425
swarm_raw_3_drones_3_interval_75.98s.ply,3,3,75.98,760186,81.605,77.7761113917656,0.00648474280286403,0.0033465683973195777,0.1,0.004559720750500425
swarm_raw_3_drones_4_interval_75.98s.ply,3,4,75.98,749072,80.808,77.64443103411446,0.006512853156196442,0.0033527649377232526,0.1,0.004559720750500425
swarm_raw_3_drones_5_interval_75.98s.ply,3,5,75.98,744449,81.155,77.74125561321192,0.006604139488294915,0.0033468284619748065,0.1,0.004559720750500425
swarm_raw_4_drones_1_interval_80.54s.ply,4,1,80.54,773570,82.465,77.963209535013,0.006341903265647066,0.0033545115802232866,0.1,0.004559720750500425
swarm_raw_4_drones_2_interval_80.54s.ply,4,2,80.54,770501,82.382,77.80885423899515,0.006407303660966333,0.0033542582838978928,0.1,0.004559720750500425
swarm_raw_4_drones_3_interval_80.54s.ply,4,3,80.54,749974,81.98100000000001,77.71963653723573,0.006476970594418821,0.003360493089789149,0.1,0.004559720750500425
swarm_raw_4_drones_4_interval_80.54s.ply,4,4,80.54,777798,81.843,77.69710637225532,0.006462388796264226,0.0033513904820919606,0.1,0.004559720750500425
swarm_raw_4_drones_5_interval_80.54s.ply,4,5,80.54,745750,81.964,77.89266866496341,0.006522251529416922,0.003342874177020241,0.1,0.004559720750500425
swarm_raw_5_drones_1_interval_91.06s.ply,5,1,91.06,805451,82.289,77.55841137449701,0.006461171917936976,0.003366756972902697,0.1,0.004559720750500425
swarm_raw_5_drones_2_interval_91.06s.ply,5,2,91.06,803895,82.08,77.61900319083428,0.0065062357208072845,0.0033581591646249893,0.1,0.004559720750500425
swarm_raw_5_drones_3_interval_91.06s.ply,5,3,91.06,771000,82.041,77.66229150533826,0.006578910874545742,0.0033580119916505374,0.1,0.004559720750500425
swarm_raw_5_drones_4_interval_91.06s.ply,5,4,91.06,803317,82.33200000000001,77.56415523238299,0.00641883308221836,0.003367827010535082,0.1,0.004559720750500425
swarm_raw_5_drones_5_interval_91.06s.ply,5,5,91.06,775656,81.83,77.81739523471299,0.006589198393182376,0.003346618890353042,0.1,0.004559720750500425
swarm_raw_6_drones_1_interval_87.57s.ply,6,1,87.57,912211,82.968,77.72962730658058,0.005942458547213314,0.00336300427553489,0.1,0.004559720750500425
swarm_raw_6_drones_2_interval_87.57s.ply,6,2,87.57,908068,83.17099999999999,77.79055810605917,0.005367529049047394,0.003354418345999534,0.1,0.004559720750500425
swarm_raw_6_drones_3_interval_87.57s.ply,6,3,87.57,859448,83.044,77.59160643876217,0.0051474303558899535,0.003367927484877483,0.1,0.004559720750500425
swarm_raw_6_drones_4_interval_87.57s.ply,6,4,87.57,808597,82.441,77.67789740483762,0.005487974828491166,0.003356429417244753,0.1,0.004559720750500425
swarm_raw_6_drones_5_interval_87.57s.ply,6,5,87.57,893564,83.065,77.43349112412788,0.005407163521672786,0.0033739555582542905,0.1,0.004559720750500425
swarm_raw_7_drones_1_interval_96.12s.ply,7,1,96.12,926993,82.633,77.56603868221399,0.006208874464853766,0.003367052690683738,0.1,0.004559720750500425
swarm_raw_7_drones_2_interval_96.12s.ply,7,2,96.12,973148,82.352,77.39544281110234,0.006272985898905023,0.0033781835252026126,0.1,0.004559720750500425
swarm_raw_7_drones_3_interval_96.12s.ply,7,3,96.12,888456,82.02000000000001,77.51527394005726,0.006368994553534523,0.003367489468933459,0.1,0.004559720750500425
swarm_raw_7_drones_4_interval_96.12s.ply,7,4,96.12,904330,82.42699999999999,77.55880898187625,0.0062279642927564275,0.003367439725070626,0.1,0.004559720750500425
swarm_raw_7_drones_5_interval_96.12s.ply,7,5,96.12,818661,81.6,77.66584376222136,0.006410684520366392,0.003359823281570105,0.1,0.004559720750500425
swarm_raw_8_drones_1_interval_86.60s.ply,8,1,86.6,944578,82.73899999999999,77.55788713931655,0.006108946388667119,0.003366037098082076,0.1,0.004559720750500425
swarm_raw_8_drones_1_interval_86.62s.ply,8,1,86.62,941573,83.165,77.37045939461076,0.0059447613283466275,0.0033820831402962834,0.1,0.004559720750500425
swarm_raw_8_drones_2_interval_86.62s.ply,8,2,86.62,948674,82.64,77.36150937342681,0.0060769979820217155,0.0033813284492542656,0.1,0.004559720750500425
swarm_raw_8_drones_3_interval_86.62s.ply,8,3,86.62,907156,82.425,77.5984159516142,0.006070304127586457,0.0033709499514342064,0.1,0.004559720750500425
swarm_raw_8_drones_4_interval_86.62s.ply,8,4,86.62,940846,83.087,77.3918229112409,0.006028533674009609,0.0033829386561342813,0.1,0.004559720750500425
swarm_raw_8_drones_5_interval_86.62s.ply,8,5,86.62,876209,81.695,77.65411653643378,0.006430761521712704,0.0033577651232539227,0.1,0.004559720750500425
swarm_raw_9_drones_1_interval_93.48s.ply,9,1,93.48,1105995,84.407,77.6316170194297,0.005366802091677633,0.0033664311249254147,0.1,0.004559720750500425
swarm_raw_9_drones_2_interval_93.48s.ply,9,2,93.48,1097985,83.74000000000001,77.45898531538619,0.005410831310839472,0.0033726370683559914,0.1,0.004559720750500425
swarm_raw_9_drones_3_interval_93.48s.ply,9,3,93.48,1071800,83.332,77.4408882264551,0.00560167753384206,0.0033693670766245507,0.1,0.004559720750500425
swarm_raw_9_drones_4_interval_93.48s.ply,9,4,93.48,1006169,83.131,77.71174322893644,0.005897668702453082,0.0033526231821087776,0.1,0.004559720750500425
