filename,drones,interval,convergence_time,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
swarm_raw_1_drones_10_interval_79.75s.ply,1,10,79.75,46932,12.055,71.74422568822978,0.1542636481865632,0.0026367200845031228,0.1,0.0032152315314051233
swarm_raw_1_drones_11_interval_79.75s.ply,1,11,79.75,36181,10.417,71.50161687073326,0.16060344158469855,0.002656053026630511,0.1,0.0032152315314051233
swarm_raw_1_drones_12_interval_79.75s.ply,1,12,79.75,40951,8.401,71.82173382173383,0.19100675388147628,0.002630676086531877,0.1,0.0032152315314051233
swarm_raw_1_drones_1_interval_79.75s.ply,1,1,79.75,119279,18.125,71.79194822180118,0.13882456387080838,0.00263817259202555,0.1,0.0032152315314051233
swarm_raw_1_drones_2_interval_79.75s.ply,1,2,79.75,99907,17.473,71.42642657671635,0.14355021961107178,0.002644511765337071,0.1,0.0032152315314051233
swarm_raw_1_drones_3_interval_79.75s.ply,1,3,79.75,106502,15.940999999999999,71.83767069858365,0.14491626489573706,0.002632385380309972,0.1,0.0032152315314051233
swarm_raw_1_drones_4_interval_79.75s.ply,1,4,79.75,78200,16.45,71.91744034374281,0.14556060100230314,0.0026308159222570406,0.1,0.0032152315314051233
swarm_raw_1_drones_5_interval_79.75s.ply,1,5,79.75,70384,16.111,71.19576027961695,0.14737623071768108,0.002656721441383586,0.1,0.0032152315314051233
swarm_raw_1_drones_6_interval_79.75s.ply,1,6,79.75,56204,13.012,71.714529732038,0.1565158526156384,0.002639748467842381,0.1,0.0032152315314051233
swarm_raw_1_drones_7_interval_79.75s.ply,1,7,79.75,47349,11.205,72.56541848824685,0.15970100120878564,0.0026145305712738016,0.1,0.0032152315314051233
swarm_raw_1_drones_8_interval_79.75s.ply,1,8,79.75,56307,14.535,72.00433407936339,0.15129814187393137,0.0026305010189118096,0.1,0.0032152315314051233
swarm_raw_1_drones_9_interval_79.75s.ply,1,9,79.75,49900,9.911,72.38877755511022,0.17482694831216491,0.002613305872147064,0.1,0.0032152315314051233
swarm_raw_2_drones_10_interval_78.44s.ply,2,10,78.44,896159,92.06400000000001,73.72832276415234,0.0021927488949148237,0.002516538472350673,0.1,0.0032152315314051233
swarm_raw_2_drones_11_interval_78.44s.ply,2,11,78.44,617832,85.32600000000001,74.20831910344414,0.002787852962693219,0.0024798211181631656,0.1,0.0032152315314051233
swarm_raw_2_drones_12_interval_78.44s.ply,2,12,78.44,665841,84.764,74.15403977826539,0.0029943905551026283,0.0024902700340786754,0.1,0.0032152315314051233
swarm_raw_2_drones_1_interval_78.44s.ply,2,1,78.44,904265,92.13,73.74234187591682,0.002186800223840514,0.002517211185589057,0.1,0.0032152315314051233
swarm_raw_2_drones_2_interval_78.44s.ply,2,2,78.44,862283,90.618,73.82982153191006,0.0022376315387850378,0.0025093102102968887,0.1,0.0032152315314051233
swarm_raw_2_drones_3_interval_78.44s.ply,2,3,78.44,826098,89.92599999999999,73.99981600245977,0.0023090797699872726,0.002501720294058818,0.1,0.0032152315314051233
swarm_raw_2_drones_4_interval_78.44s.ply,2,4,78.44,898149,92.013,73.70296306523375,0.0021982587671411083,0.0025147633565133476,0.1,0.0032152315314051233
swarm_raw_2_drones_5_interval_78.44s.ply,2,5,78.44,739246,89.166,74.02195263166439,0.0023798179874359895,0.0024970293669734148,0.1,0.0032152315314051233
swarm_raw_2_drones_6_interval_78.44s.ply,2,6,78.44,773689,87.837,74.10001551028849,0.002585321693831987,0.0024935762553584414,0.1,0.0032152315314051233
swarm_raw_2_drones_7_interval_78.44s.ply,2,7,78.44,708874,87.666,74.35702828638216,0.0025779962090847503,0.002481599787065285,0.1,0.0032152315314051233
swarm_raw_2_drones_8_interval_78.44s.ply,2,8,78.44,754972,88.34100000000001,74.26275411538441,0.002499452145919375,0.0024844820953882846,0.1,0.0032152315314051233
swarm_raw_2_drones_9_interval_78.44s.ply,2,9,78.44,862278,90.822,73.86075024528053,0.0022377041290415796,0.0025061034366161763,0.1,0.0032152315314051233
swarm_raw_3_drones_10_interval_84.94s.ply,3,10,84.94,694564,87.60900000000001,74.1994471001555,0.002559750171684631,0.0024769690551699843,0.1,0.0032152315314051233
swarm_raw_3_drones_11_interval_84.94s.ply,3,11,84.94,711516,88.31,74.43045980646386,0.0023548130544250325,0.0024701374893485147,0.1,0.0032152315314051233
swarm_raw_3_drones_12_interval_84.94s.ply,3,12,84.94,689935,86.51299999999999,74.31449169910977,0.0026876288183597854,0.0024721235645137818,0.1,0.0032152315314051233
swarm_raw_3_drones_1_interval_84.94s.ply,3,1,84.94,846726,93.524,73.68995401109686,0.0020429797023103235,0.002516037539506727,0.1,0.0032152315314051233
swarm_raw_3_drones_2_interval_84.94s.ply,3,2,84.94,808752,91.886,74.07414794933136,0.002096060520589597,0.0024962301060870674,0.1,0.0032152315314051233
swarm_raw_3_drones_3_interval_84.94s.ply,3,3,84.94,818785,91.194,73.9975646723605,0.0021393729711179786,0.0024918539717993285,0.1,0.0032152315314051233
swarm_raw_3_drones_4_interval_84.94s.ply,3,4,84.94,775616,90.687,74.12553319561145,0.0021785514599310103,0.0024876777882282966,0.1,0.0032152315314051233
swarm_raw_3_drones_5_interval_84.94s.ply,3,5,84.94,811619,89.98899999999999,74.24419586037291,0.0022167637615496507,0.0024799576937151275,0.1,0.0032152315314051233
swarm_raw_3_drones_6_interval_84.94s.ply,3,6,84.94,747259,89.474,74.30803096313899,0.0022990830328811825,0.002478652695571253,0.1,0.0032152315314051233
swarm_raw_3_drones_7_interval_84.94s.ply,3,7,84.94,747869,89.388,74.16771388510634,0.002258129963826198,0.00248041149833637,0.1,0.0032152315314051233
swarm_raw_3_drones_8_interval_84.94s.ply,3,8,84.94,839359,93.635,73.80093569791347,0.002040794645475093,0.00251092616578349,0.1,0.0032152315314051233
swarm_raw_3_drones_9_interval_84.94s.ply,3,9,84.94,803504,92.05499999999999,74.02292069608421,0.0020966375701796307,0.002497558420166658,0.1,0.0032152315314051233
swarm_raw_4_drones_10_interval_82.52s.ply,4,10,82.52,1082170,93.42200000000001,73.4742230887938,0.002068234041194132,0.002529795278759914,0.1,0.0032152315314051233
swarm_raw_4_drones_11_interval_82.52s.ply,4,11,82.52,861107,89.173,74.29041919296905,0.0024463771222627685,0.0024783213202175134,0.1,0.0032152315314051233
swarm_raw_4_drones_12_interval_82.52s.ply,4,12,82.52,808138,88.14,74.25817446870131,0.002556798996975535,0.002481693506759746,0.1,0.0032152315314051233
swarm_raw_4_drones_1_interval_82.52s.ply,4,1,82.52,1082473,93.49300000000001,73.45282515129708,0.002061946302409681,0.00252872500733914,0.1,0.0032152315314051233
swarm_raw_4_drones_2_interval_82.52s.ply,4,2,82.52,1035431,92.38199999999999,73.86585875833349,0.0021107478718350504,0.0025096756074628173,0.1,0.0032152315314051233
swarm_raw_4_drones_3_interval_82.52s.ply,4,3,82.52,1009559,91.53099999999999,73.96308685277432,0.002159070956006688,0.0025013044136737166,0.1,0.0032152315314051233
swarm_raw_4_drones_4_interval_82.52s.ply,4,4,82.52,1082464,93.45700000000001,73.72651654004197,0.0020647295334311217,0.0025214258698916803,0.1,0.0032152315314051233
swarm_raw_4_drones_5_interval_82.52s.ply,4,5,82.52,947585,91.053,73.83664789966072,0.0021890572135007374,0.002504591992411201,0.1,0.0032152315314051233
swarm_raw_4_drones_6_interval_82.52s.ply,4,6,82.52,926741,90.13600000000001,73.98151155500837,0.002289025558471271,0.002493019553093359,0.1,0.0032152315314051233
swarm_raw_4_drones_7_interval_82.52s.ply,4,7,82.52,841486,90.273,74.1344478696021,0.0022401019539060266,0.002487440612718767,0.1,0.0032152315314051233
swarm_raw_4_drones_8_interval_82.52s.ply,4,8,82.52,927846,90.58,73.91237338954956,0.0022603038966474776,0.0024980082904960503,0.1,0.0032152315314051233
swarm_raw_4_drones_9_interval_82.52s.ply,4,9,82.52,1035366,92.239,73.75546425128891,0.0021203280902198584,0.002511408664990312,0.1,0.0032152315314051233
swarm_raw_5_drones_10_interval_89.49s.ply,5,10,89.49,867294,90.44,74.32946613259172,0.002207631371934841,0.002476749817461537,0.1,0.0032152315314051233
swarm_raw_5_drones_11_interval_89.49s.ply,5,11,89.49,866978,90.204,74.14997843082524,0.002300556672893808,0.0024813320252355976,0.1,0.0032152315314051233
swarm_raw_5_drones_12_interval_89.49s.ply,5,12,89.49,1040838,92.872,73.85010923890172,0.002043632811522409,0.002506214758773106,0.1,0.0032152315314051233
swarm_raw_5_drones_1_interval_89.49s.ply,5,1,89.49,1112943,94.633,73.7280345893725,0.001985917719731847,0.0025196568018371413,0.1,0.0032152315314051233
swarm_raw_5_drones_2_interval_89.49s.ply,5,2,89.49,1091332,93.652,73.8139264678393,0.002006702558390339,0.0025106831025375046,0.1,0.0032152315314051233
swarm_raw_5_drones_3_interval_89.49s.ply,5,3,89.49,1041303,92.953,73.86130645931107,0.0020388919624594265,0.0025045691688501933,0.1,0.0032152315314051233
swarm_raw_5_drones_4_interval_89.49s.ply,5,4,89.49,1112866,94.76,73.62063357133744,0.001977636341195513,0.002524087301388667,0.1,0.0032152315314051233
swarm_raw_5_drones_5_interval_89.49s.ply,5,5,89.49,977956,91.62400000000001,73.93420562888309,0.0021242998333175058,0.0024991526037764496,0.1,0.0032152315314051233
swarm_raw_5_drones_6_interval_89.49s.ply,5,6,89.49,942003,91.199,74.0079384035932,0.0021832825131704384,0.0024930003810880326,0.1,0.0032152315314051233
swarm_raw_5_drones_7_interval_89.49s.ply,5,7,89.49,1027124,92.568,73.95475132505909,0.002050100601613734,0.0025005712727645124,0.1,0.0032152315314051233
swarm_raw_5_drones_8_interval_89.49s.ply,5,8,89.49,909133,91.316,74.03317226412418,0.0021207898603082705,0.0024908005430705755,0.1,0.0032152315314051233
swarm_raw_5_drones_9_interval_89.49s.ply,5,9,89.49,877244,91.266,74.2268969636726,0.0021218767546142686,0.0024857961396785658,0.1,0.0032152315314051233
