filename,drones,interval,convergence_time,num_points,mesh_visibility,mesh_overlap,chamfer_distance,mean_distance_to_gt,threshold,adjusted_threshold
swarm_raw_1_drones_10_interval_88.77s.ply,1,10,88.77,412768,61.622,76.9347430033336,0.021762316490177076,0.0034219751878352745,0.1,0.004559720750500425
swarm_raw_1_drones_11_interval_88.77s.ply,1,11,88.77,276892,50.105,77.66674371234994,0.024651734205451036,0.0033671035292485722,0.1,0.004559720750500425
swarm_raw_1_drones_12_interval_88.77s.ply,1,12,88.77,247454,53.177,77.18525463318436,0.02297067089661185,0.0033941644613934047,0.1,0.004559720750500425
swarm_raw_1_drones_1_interval_88.77s.ply,1,1,88.77,454940,62.989,76.62680793071614,0.021505912861526495,0.003457479284789515,0.1,0.004559720750500425
swarm_raw_1_drones_2_interval_88.77s.ply,1,2,88.77,419670,62.109,76.92265534340322,0.021452136006319348,0.0034291117475127803,0.1,0.004559720750500425
swarm_raw_1_drones_3_interval_88.77s.ply,1,3,88.77,397238,60.763,76.96343250142232,0.02161119859888601,0.0034203132864594047,0.1,0.004559720750500425
swarm_raw_1_drones_4_interval_88.77s.ply,1,4,88.77,369187,59.913000000000004,77.18169161344146,0.02189413715333799,0.003405178957348044,0.1,0.004559720750500425
swarm_raw_1_drones_5_interval_88.77s.ply,1,5,88.77,418200,61.767,76.928116922091,0.021626061507370075,0.003430584526863937,0.1,0.004559720750500425
swarm_raw_1_drones_6_interval_88.77s.ply,1,6,88.77,361143,59.196000000000005,77.70799932436736,0.02187405177159173,0.0033786778339334822,0.1,0.004559720750500425
swarm_raw_1_drones_7_interval_88.77s.ply,1,7,88.77,314192,55.236,77.30209553394103,0.021761324655812785,0.0033899324363092544,0.1,0.004559720750500425
swarm_raw_1_drones_8_interval_88.77s.ply,1,8,88.77,304534,53.93900000000001,77.46327175290773,0.02348107785707957,0.0033816872993485485,0.1,0.004559720750500425
swarm_raw_1_drones_9_interval_88.77s.ply,1,9,88.77,453758,62.763999999999996,76.60007362487904,0.021712630397465394,0.003446559755300432,0.1,0.004559720750500425
swarm_raw_2_drones_10_interval_83.05s.ply,2,10,83.05,511495,75.075,77.79118075445508,0.00930575107522734,0.003342089212570499,0.1,0.004559720750500425
swarm_raw_2_drones_11_interval_83.05s.ply,2,11,83.05,580830,74.11999999999999,77.87906960728613,0.009761744307065265,0.00333612235821888,0.1,0.004559720750500425
swarm_raw_2_drones_12_interval_83.05s.ply,2,12,83.05,548848,73.235,77.84596099466519,0.010328691051261078,0.0033384128706917164,0.1,0.004559720750500425
swarm_raw_2_drones_1_interval_83.05s.ply,2,1,83.05,602286,78.474,77.75707886286581,0.008380322770091101,0.003348848821888056,0.1,0.004559720750500425
swarm_raw_2_drones_2_interval_83.05s.ply,2,2,83.05,569564,77.84100000000001,77.75631886846782,0.008479771646845982,0.0033493715386394697,0.1,0.004559720750500425
swarm_raw_2_drones_3_interval_83.05s.ply,2,3,83.05,549264,78.008,77.71099145818955,0.008644332406749312,0.0033484335376732684,0.1,0.004559720750500425
swarm_raw_2_drones_4_interval_83.05s.ply,2,4,83.05,534041,76.594,77.52944062347274,0.009057872803613597,0.003354076011079354,0.1,0.004559720750500425
swarm_raw_2_drones_5_interval_83.05s.ply,2,5,83.05,537422,77.34400000000001,77.8957690604404,0.008584218917833947,0.0033379504695555833,0.1,0.004559720750500425
swarm_raw_2_drones_6_interval_83.05s.ply,2,6,83.05,585386,76.847,77.8551246527932,0.008754745357972073,0.00333980878088855,0.1,0.004559720750500425
swarm_raw_2_drones_7_interval_83.05s.ply,2,7,83.05,595307,76.667,77.88384816573634,0.009054214379199971,0.0033430979503536336,0.1,0.004559720750500425
